OBJECTID,IDESTACION,FECHAACTUAL,MODO,CODIGOESTACION,DENOMINACION,OBSERVACIONES,SITUACION,CODIGOCTMESTACIONREDMETRO,CODIGOEMPRESA,DENOMINACIONABREVIADA,MODOINTERCAMBIADOR,CODIGOINTERCAMBIADOR,TIPO,CODIGOPROVINCIA,CODIGOMUNICIPIO,CODIGOENTIDAD,CODIGONUCLEO,CODIGOVIA,TIPOVIA,PARTICULA,NOMBREVIA,TIPONUMERO,NUMEROPORTAL,CALIFICADORPORTAL,CARRETERA,CODIGOPOSTAL,DISTRITO,SECCIONCENSAL,BARRIO,TESELA,SECTORURBANO,SECTOR,CORREDOR,CORONATARIFARIA,CORONA123,ZONATRANSPORTE,ENCUESTADOMICILIARIA,ENCUESTAAFOROS,HOJA25000,ACONDICIONAMIENTOVIAJEROS,ACONDICIONAMIENTOVEHICULOS,FECHAALTA,FECHAINICIO,FECHAFIN,X,Y,GRADOACCESIBILIDAD,SITUACIONCALLE,DENOMINACION_SAE,INTERURBANOS_CODIGOEMT_CRTM,INTERURBANOS_CODIGOEMT_EMPRESA,LINEAS,x2,y2
57,5_67,20260529,5,67,ROBLEDO DE CHAVELA,,S,67,10205,,93,320,U,28,125,12502,1250201,00210,Calle,de,Francisco Quevedo,N,295,,,28294,01,001,,T12515,1250201009,,6,C2,4,125-001,1166,93,532-4,2,3,20030331,19860101,,394502,4486515,T,,,,,C-8a,394392.6226,4486308.086
58,5_96,20260529,5,96,"ZORRERAS, LAS",,S,96,10202,,93,376,U,28,054,05406,0540601,00797,Calle, ,Alcudia,N,26,,,28292,01,004,,T054116,0540601010,,6,C1,4,054-002,1158,35,533-1,2,3,20030331,19860101,,411616,4496133,N,,,,,C-8a,411507.1183,4495925.4831
59,5_74,20260529,5,74,SAN YAGO,,S,74,10201,,93,339,U,28,061,06106,0610601,A0561,Avda, ,Saltos del Sil,N,1,,,28292,01,009,,T06186,0610601001,,6,C1,4,061-001,971,61,533-1,2,3,20030331,19860101,,412892,4497056,N,,,,,C-8a,412782.6565,4496848.8028
60,5_10,20260529,5,10,ASAMBLEA DE MADRID-ENTREVÍAS,,S,10,70002,,93,145,U,28,079,07901,0790101,06477,Calle,del,Vizconde de Arlessón,N,45,,,28053,13,023,131,T07913451,0790101766,,3,A,2,079-13-372,372,20,559-4,2,3,20030331,19860101,,443408,4470542,N,,,,,"C-2, C-7, C-8a, C-8b",443297.9049,4470334.5762
61,5_75,20260529,5,75,SANTA EUGENIA,,S,75,70109,,93,340,U,28,079,07901,0790101,10280,Avda,de,Santa Eugenia,N,2,,,28031,18,039,182,T07912787,0790101788,,3,A,2,079-18-504,504,62,559-4,2,3,20030331,19860101,,448415,4471096,N,,,,,"C-2, C-7, C-8a, C-8b",448305.0023,4470888.3076
62,5_2,20260529,5,2,ALCALÁ DE HENARES,Con Calle de Valdetorres,S,2,70103,,93,125,U,28,005,00501,0050101,A0549,Calle, ,Pedro Lainez,N,2,,,28807,07,004,,T005571,0050101029,,2,B3,3,005-018,874,1,560-1,2,3,20030331,19860101,,469063,4482309,N,,,,,"C-2, C-7, C-8a, C-8b",468953.8767,4482101.5396
63,5_81,20260529,5,81,TORREJÓN DE ARDOZ,Con Calle Pamplona,S,81,70102,,93,351,U,28,148,14801,1480101,01866,Paseo, ,Estación,N,3,,,28850,03,005,,T148376,1480101026,,2,B2,3,148-009,940,63,560-1,2,3,20030331,19860101,,459425,4478534,N,,,,,"C-2, C-7, C-8a, C-8b",459315.5468,4478326.0595
64,5_7,20260529,5,7,ALUCHE,,I,7,35600,,90,1,U,28,079,07901,0790101,08718,Calle,de,Valmojado,N,293,,,28047,10,091,104,T07912935,0790101642,3,5,A,2,079-10-256,256,4,559-3,2,3,20030331,19860101,,435539,4471045,N,,,,,C-5,435429.5269,4470837.1865
65,5_28,20260529,5,28,EMBAJADORES,,I,28,35609,,92,10,U,28,079,07901,0790101,01925,Gta,de,Embajadores,N,1,,,28012,01,039,012,T07910437,0790101612,1,5,A,1,079-01-022,22,21,559-3,2,3,20030331,19860101,,440489,4473168,P,,,,,C-5,440379.8966,4472960.6949
66,5_53,20260529,5,53,PARLA,,S,53,37012,,92,100,U,28,106,10601,1060102,00113,Calle,,Real,N,81,,,28981,01,003,,T106171,1060102001,7,4,B2,3,106-005,819,49,582-3,2,3,20030331,19860101,,434668,4454972,T,,,,,C-4,434558.3148,4454764.3846
67,5_61,20260529,5,61,PRÍNCIPE PÍO,Con Vía Ferrocarril,I,61,10000,,90,18,U,28,079,07901,0790101,02239,Paseo,de la,Florida,N,2,,,28008,09,010,091,T0798149,0790101315,1,6,A,1,079-09-230,230,54,559-1,2,3,20030331,19860101,,439007,4474950,N,,,,,"C-10, C-7",438897.7619,4474742.783
